891.0382,256.9075,31.0538
922.0920,921.9161
921.3903,920.5206
919.3169,917.7927
915.9654,913.8557
911.4875,908.8875
906.0853,903.1127
900.0032,896.7921
893.5159,890.2115
886.9166,883.6683
880.5035,877.4581
874.5666,871.8617
869.3741,867.1319
865.1606,863.4825
862.1167,861.0785
860.3798,860.0284
860.0284,860.3798
861.0785,862.1167
863.4825,865.1606
867.1319,869.3741
871.8617,874.5666
877.4581,880.5035
883.6683,886.9166
890.2115,893.5159
896.7921,900.0032
903.1127,906.0853
908.8875,911.4875
913.8557,915.9654
917.7927,919.3169
920.5206,921.3903
921.9161,922.0920
256.9075,260.2083
263.4717,266.6607
269.7393,272.6724
275.4269,277.9716
280.2776,282.3189
284.0722,285.5177
286.6390,287.4235
287.8623,287.9502
287.6865,287.0740
286.1198,284.8345
283.2328,281.3329
279.1562,276.7274
274.0740,271.2261
268.2160,265.0778
261.8470,258.5602
255.2547,251.9679
248.7371,245.5989
242.5888,239.7409
237.0875,234.6587
232.4820,230.5821
228.9804,227.6951
226.7409,226.1284
225.8647,225.9527
226.3914,227.1759
228.2972,229.7427
231.4960,233.5373
235.8433,238.3880
241.1425,244.0756
247.1542,250.3432
253.6066,256.9075
382.1669,484.7747,27.0740
409.2408,409.0875
408.6291,407.8708
406.8214,405.4926
403.8995,402.0601
399.9954,397.7286
395.2856,392.6939
389.9829,387.1834
384.3270,381.4462
378.5735,375.7415
372.9823,370.3272
367.8063,365.4481
363.2792,361.3244
359.6058,358.1428
356.9519,356.0468
355.4376,355.1313
355.1313,355.4376
356.0468,356.9519
358.1428,359.6058
361.3244,363.2792
365.4481,367.8063
370.3272,372.9823
375.7415,378.5735
381.4462,384.3270
387.1834,389.9829
392.6939,395.2856
397.7286,399.9954
402.0601,403.8995
405.4926,406.8214
407.8708,408.6291
409.0875,409.2408
484.7747,487.6525
490.4977,493.2780
495.9620,498.5192
500.9207,503.1393
505.1498,506.9294
508.4580,509.7182
510.6959,511.3798
511.7623,511.8390
511.6091,511.0751
510.2432,509.1226
507.7262,506.0698
504.1720,502.0545
499.7412,497.2583
494.6340,491.8979
489.0812,486.2156
483.3338,480.4682
477.6515,474.9154
472.2911,469.8082
467.4949,465.3774
463.4796,461.8232
460.4268,459.3062
458.4742,457.9403
457.7103,457.7871
458.1696,458.8535
459.8311,461.0914
462.6200,464.3996
466.4101,468.6287
471.0302,473.5874
476.2714,479.0517
481.8969,484.7747
268.3127,280.2827,21.9041
290.2168,290.0927
289.7219,289.1084
288.2594,287.1843
285.8954,284.4073
282.7368,280.9029
278.9264,276.8295
274.6362,272.3713
270.0603,267.7296
265.4054,263.1143
260.8820,258.7338
256.6943,254.7863
253.0317,251.4501
250.0597,248.8760
247.9126,247.1803
246.6874,246.4396
246.4396,246.6874
247.1803,247.9126
248.8760,250.0597
251.4501,253.0317
254.7863,256.6943
258.7338,260.8820
263.1143,265.4054
267.7296,270.0603
272.3713,274.6362
276.8295,278.9264
280.9029,282.7368
284.4073,285.8954
287.1843,288.2594
289.1084,289.7219
290.0927,290.2168
280.2827,282.6110
